leaf.length,leaf.width,flower.length,flower.width,plant
5.4,3.7,1.5,0.2,Arctica
4.8,3.4,1.6,0.2,Arctica
4.8,3,1.4,0.1,Arctica
4.3,3,1.1,0.1,Arctica
5.8,4,1.2,0.2,Arctica
5.7,4.4,1.5,0.4,Arctica
5.4,3.9,1.3,0.4,Arctica
5.1,3.5,1.4,0.3,Arctica
5.7,3.8,1.7,0.3,Arctica
5.1,3.8,1.5,0.3,Arctica
5.4,3.4,1.7,0.2,Arctica
5.1,3.7,1.5,0.4,Arctica
4.6,3.6,1,0.2,Arctica
5.1,3.3,1.7,0.5,Arctica
4.8,3.4,1.9,0.2,Arctica
5,3,1.6,0.2,Arctica
5,3.4,1.6,0.4,Arctica
5.2,3.5,1.5,0.2,Arctica
5.2,3.4,1.4,0.2,Arctica
4.7,3.2,1.6,0.2,Arctica
4.8,3.1,1.6,0.2,Arctica
5.4,3.4,1.5,0.4,Arctica
5.2,4.1,1.5,0.1,Arctica
5.5,4.2,1.4,0.2,Arctica
4.9,3.1,1.5,0.2,Arctica
5,3.2,1.2,0.2,Arctica
5.5,3.5,1.3,0.2,Arctica
4.9,3.6,1.4,0.1,Arctica
4.4,3,1.3,0.2,Arctica
5.1,3.4,1.5,0.2,Arctica
5,3.5,1.3,0.3,Arctica
4.5,2.3,1.3,0.3,Arctica
4.4,3.2,1.3,0.2,Arctica
5,3.5,1.6,0.6,Arctica
5.1,3.8,1.9,0.4,Arctica
4.8,3,1.4,0.3,Arctica
5.1,3.8,1.6,0.2,Arctica
4.6,3.2,1.4,0.2,Arctica
5.3,3.7,1.5,0.2,Arctica
5,3.3,1.4,0.2,Arctica
5,2,3.5,1,Harlequin
5.9,3,4.2,1.5,Harlequin
6,2.2,4,1,Harlequin
6.1,2.9,4.7,1.4,Harlequin
5.6,2.9,3.6,1.3,Harlequin
6.7,3.1,4.4,1.4,Harlequin
5.6,3,4.5,1.5,Harlequin
5.8,2.7,4.1,1,Harlequin
6.2,2.2,4.5,1.5,Harlequin
5.6,2.5,3.9,1.1,Harlequin
5.9,3.2,4.8,1.8,Harlequin
6.1,2.8,4,1.3,Harlequin
6.3,2.5,4.9,1.5,Harlequin
6.1,2.8,4.7,1.2,Harlequin
6.4,2.9,4.3,1.3,Harlequin
6.6,3,4.4,1.4,Harlequin
6.8,2.8,4.8,1.4,Harlequin
6.7,3,5,1.7,Harlequin
6,2.9,4.5,1.5,Harlequin
5.7,2.6,3.5,1,Harlequin
5.5,2.4,3.8,1.1,Harlequin
5.5,2.4,3.7,1,Harlequin
5.8,2.7,3.9,1.2,Harlequin
6,2.7,5.1,1.6,Harlequin
5.4,3,4.5,1.5,Harlequin
6,3.4,4.5,1.6,Harlequin
6.7,3.1,4.7,1.5,Harlequin
6.3,2.3,4.4,1.3,Harlequin
5.6,3,4.1,1.3,Harlequin
5.5,2.5,4,1.3,Harlequin
5.5,2.6,4.4,1.2,Harlequin
6.1,3,4.6,1.4,Harlequin
5.8,2.6,4,1.2,Harlequin
5,2.3,3.3,1,Harlequin
5.6,2.7,4.2,1.3,Harlequin
5.7,3,4.2,1.2,Harlequin
5.7,2.9,4.2,1.3,Harlequin
6.2,2.9,4.3,1.3,Harlequin
5.1,2.5,3,1.1,Harlequin
5.7,2.8,4.1,1.3,Harlequin
6.5,3.2,5.1,2,Carolinian
6.4,2.7,5.3,1.9,Carolinian
6.8,3,5.5,2.1,Carolinian
5.7,2.5,5,2,Carolinian
5.8,2.8,5.1,2.4,Carolinian
6.4,3.2,5.3,2.3,Carolinian
6.5,3,5.5,1.8,Carolinian
7.7,3.8,6.7,2.2,Carolinian
7.7,2.6,6.9,2.3,Carolinian
6,2.2,5,1.5,Carolinian
6.9,3.2,5.7,2.3,Carolinian
5.6,2.8,4.9,2,Carolinian
7.7,2.8,6.7,2,Carolinian
6.3,2.7,4.9,1.8,Carolinian
6.7,3.3,5.7,2.1,Carolinian
7.2,3.2,6,1.8,Carolinian
6.2,2.8,4.8,1.8,Carolinian
6.1,3,4.9,1.8,Carolinian
6.4,2.8,5.6,2.1,Carolinian
7.2,3,5.8,1.6,Carolinian
7.4,2.8,6.1,1.9,Carolinian
7.9,3.8,6.4,2,Carolinian
6.4,2.8,5.6,2.2,Carolinian
6.3,2.8,5.1,1.5,Carolinian
6.1,2.6,5.6,1.4,Carolinian
7.7,3,6.1,2.3,Carolinian
6.3,3.4,5.6,2.4,Carolinian
6.4,3.1,5.5,1.8,Carolinian
6,3,4.8,1.8,Carolinian
6.9,3.1,5.4,2.1,Carolinian
6.7,3.1,5.6,2.4,Carolinian
6.9,3.1,5.1,2.3,Carolinian
5.8,2.7,5.1,1.9,Carolinian
6.8,3.2,5.9,2.3,Carolinian
6.7,3.3,5.7,2.5,Carolinian
6.7,3,5.2,2.3,Carolinian
6.3,2.5,5,1.9,Carolinian
6.5,3,5.2,2,Carolinian
6.2,3.4,5.4,2.3,Carolinian
5.9,3,5.1,1.8,Carolinian
